category_code,category_name,sort_order
6804,"骨科手术器械",210
680401,"骨科手术器械-骨科用刀",211
68040101,"截骨用刀",212
68040102,"骨科内窥镜用刀",213
68040103,"扩孔用刀",214
68040104,"石膏切割用刀",215
680402,"骨科手术器械-骨科用剪",216
68040201,"骨科内窥镜用剪",217
68040202,"骨及组织用剪",218
68040203,"植入物或石膏用剪",219
680403,"骨科手术器械-骨科用钳",220
68040301,"骨科内窥镜用钳",221
68040302,"夹持/复位用钳",222
68040303,"咬骨钳",223
68040304,"组织用钳",224
68040305,"撑开钳",225
68040306,"压缩钳",226
68040307,"植入物塑形用钳",227
680404,"骨科手术器械-骨科用钩",228
68040401,"拉钩",229
68040402,"牵开器",230
68040403,"骨钩",231
680405,"骨科手术器械-骨科用针",232
68040501,"探针",233
68040502,"牵引针",234
68040503,"定位导引针",235
68040504,"固定针",236
68040505,"穿孔针",237
68040506,"切割针",238
680406,"骨科手术器械-骨科用刮",239
68040601,"骨科内窥镜用刮匙",240
68040602,"刮匙",241
680407,"骨科手术器械-骨科用锥",242
68040701,"介入术用骨锥",243
68040702,"开口用锥",244
68040703,"攻丝用锥",245
680408,"骨科手术器械-骨科用钻",246
68040801,"切/取骨钻",247
68040802,"钻孔用钻",248
68040803,"导钻（套钻）",249
68040804,"修整用钻",250
68040805,"扩髓用钻",251
68040806,"芯钻",252
680409,"骨科手术器械-骨科用锯",253
68040901,"骨锯",254
68040902,"石膏锯",255
68040903,"配套工具",256
680410,"骨科手术器械-骨科用凿",257
68041001,"骨凿",258
680411,"骨科手术器械-骨科用锉、铲",259
68041101,"骨科用锉",260
68041102,"骨科用铲",261
680412,"骨科手术器械-骨科用有源",262
68041201,"骨科动力手术设备",263
68041203,"石膏切割器具",264
680413,"骨科手术器械-外固定及牵引器械",265
68041301,"髌骨爪",266
68041302,"外固定支架",267
68041303,"夹板及固定带",268
68041304,"牵引器",269
68041305,"术中牵引架及配件",270
68041306,"骨科牵引床及配件",271
68041307,"紧固、支撑工具",272
680414,"骨科手术器械-基础通用辅助器械",273
68041401,"微创骨导引器",274
68041402,"骨水泥器械",275
68041403,"植骨器械",276
68041404,"取样器械",277
68041405,"测量器械",278
68041406,"定位导向器械",279
68041407,"夹持、固定器械",280
68041408,"敲拔器械",281
68041409,"开口器械",282
68041410,"石膏拆除器械",283
68041411,"刨骨器",284
68041412,"植入取出工具",285
68041413,"配套工具",286
680415,"骨科手术器械-创伤外科辅助器械",287
